exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E10_lr_bin_0p0001_head_0p002_ft_0p0003,0.8769230769230769,,0.8787878787878788,,0.8755260243632336,,0.8746366811483091,,1.0,,0.7727272727272727,,0.8636363636363636,
E10_lr_bin_0p0001_head_0p002_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0001_head_0p002_ft_5e-05,0.7230769230769231,,0.7272727272727274,,0.7053763440860216,,0.7018693134822167,,1.0,,0.8181818181818182,,0.36363636363636365,
E10_lr_bin_0p0003_head_0p0001_ft_0p0001,0.6307692307692307,,0.6363636363636364,,0.6218081435472739,,0.6173275999362956,,1.0,,0.4090909090909091,,0.5,
E10_lr_bin_0p0003_head_0p0001_ft_0p0003,0.8461538461538461,,0.8484848484848485,,0.8422266139657445,,0.8411371237458194,,1.0,,0.6818181818181818,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p0001_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p0001_ft_5e-05,0.5230769230769231,,0.5303030303030304,,0.5079130934820112,,0.5016803183315671,,1.0,,0.36363636363636365,,0.22727272727272727,
E10_lr_bin_0p0003_head_0p0003_ft_0p0001,0.5692307692307692,,0.5757575757575758,,0.5543478260869564,,0.548829431438127,,1.0,,0.45454545454545453,,0.2727272727272727,
E10_lr_bin_0p0003_head_0p0003_ft_0p0003,0.8461538461538461,,0.8484848484848485,,0.8422266139657445,,0.8411371237458194,,1.0,,0.6818181818181818,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p0003_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p0003_ft_5e-05,0.5230769230769231,,0.5303030303030304,,0.5029872818692694,,0.4966787250017063,,1.0,,0.4090909090909091,,0.18181818181818182,
E10_lr_bin_0p0003_head_0p0005_ft_0p0001,0.7230769230769231,,0.7272727272727272,,0.710878010878011,,0.7074556213017752,,1.0,,0.7727272727272727,,0.4090909090909091,
E10_lr_bin_0p0003_head_0p0005_ft_0p0003,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0003_head_0p0005_ft_0p0005,0.8461538461538461,,0.8484848484848485,,0.8422266139657445,,0.8411371237458194,,1.0,,0.6818181818181818,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p0005_ft_5e-05,0.6615384615384615,,0.6666666666666666,,0.6284345922276956,,0.623743842364532,,1.0,,0.7727272727272727,,0.22727272727272727,
E10_lr_bin_0p0003_head_0p001_ft_0p0001,0.6153846153846154,,0.6212121212121212,,0.5781200308936442,,0.5729673624726098,,1.0,,0.6818181818181818,,0.18181818181818182,
E10_lr_bin_0p0003_head_0p001_ft_0p0003,0.8461538461538461,,0.8484848484848485,,0.8422266139657445,,0.8411371237458194,,1.0,,0.6818181818181818,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p001_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p0003_head_0p001_ft_5e-05,0.6153846153846154,,0.6212121212121212,,0.5497715549005158,,0.5441827560795873,,1.0,,0.7727272727272727,,0.09090909090909091,
E10_lr_bin_0p0003_head_0p002_ft_0p0001,0.6307692307692307,,0.6363636363636364,,0.5443976936263052,,0.5384140684000431,,1.0,,0.8636363636363636,,0.045454545454545456,
E10_lr_bin_0p0003_head_0p002_ft_0p0003,0.6461538461538462,,0.6515151515151515,,0.5743169398907104,,0.5687936107608239,,1.0,,0.8636363636363636,,0.09090909090909091,
E10_lr_bin_0p0003_head_0p002_ft_0p0005,0.8,,0.8030303030303031,,0.79779511953425,,0.7960220678615327,,1.0,,0.7272727272727273,,0.6818181818181818,
E10_lr_bin_0p0003_head_0p002_ft_5e-05,0.6153846153846154,,0.6212121212121212,,0.5121693121693122,,0.5056898656898657,,1.0,,0.8636363636363636,,0.0,
E10_lr_bin_0p0005_head_0p0001_ft_0p0001,0.6923076923076923,,0.6969696969696969,,0.6697799248523886,,0.6660374086461043,,1.0,,0.7727272727272727,,0.3181818181818182,
E10_lr_bin_0p0005_head_0p0001_ft_0p0003,0.8615384615384616,,0.8636363636363636,,0.8603912882982651,,0.8592691029900333,,1.0,,0.7727272727272727,,0.8181818181818182,
E10_lr_bin_0p0005_head_0p0001_ft_0p0005,0.8461538461538461,,0.8484848484848485,,0.8404130894612417,,0.838983547247825,,1.0,,0.6363636363636364,,0.9090909090909091,
E10_lr_bin_0p0005_head_0p0001_ft_5e-05,0.6615384615384615,,0.6666666666666666,,0.6257763975155279,,0.6213569039655996,,1.0,,0.7727272727272727,,0.22727272727272727,
E10_lr_bin_0p0005_head_0p0003_ft_0p0001,0.676923076923077,,0.6818181818181818,,0.6283644792119368,,0.6236726506869924,,1.0,,0.8636363636363636,,0.18181818181818182,
E10_lr_bin_0p0005_head_0p0003_ft_0p0003,0.8153846153846154,,0.8181818181818182,,0.8133633633633633,,0.8115176715176716,,1.0,,0.8181818181818182,,0.6363636363636364,
